Size,Length_STD,Length_ADV,CR_STD,CR_ADV
715, 4222176, 3317424, 1.816233146131284, 2.311569458712543
716, 4221140, 3316610, 1.816678906646072, 2.312136790276819
717, 4220356, 3315994, 1.8170163843997995, 2.3125663074179266
718, 4219628, 3315422, 1.8173298688889163, 2.3129652876768025
719, 4218956, 3314894, 1.817619335209943, 2.3133336993581093
720, 4218340, 3314410, 1.8178847603559694, 2.3136715131803247
721, 4217696, 3313904, 1.8181623331790626, 2.3140247876824436
722, 4217024, 3313376, 1.8184520647736413, 2.3143935369846345
723, 4215932, 3312518, 1.8189230756093788, 2.3149930053210275
724, 4214952, 3311748, 1.8193459854347096, 2.3155312541896302
725, 4214392, 3311308, 1.8195877364991202, 2.315838937362517
